Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin-panel/,344,0,22,23.077771393937564,11.861625011079013,49.43029198329896,2843.0,7.7922953076325765,0.0,22,24,26,26,29,31,40,46,49,49,49
GET,/admin-panel/backups/,344,0,23,23.05125825575466,13.251625001430511,31.70266599045135,2843.0,7.7922953076325765,0.0,23,25,26,27,28,30,31,31,32,32,32
GET,/admin-panel/roles/,344,0,22,22.807566132118957,10.95424999948591,36.09033298562281,2843.0,7.7922953076325765,0.0,22,25,27,27,29,31,33,35,36,36,36
GET,/admin-panel/users/,344,0,24,23.02273471887443,11.578834004467353,34.02004099916667,2843.0,7.7922953076325765,0.0,24,26,27,27,28,30,31,32,34,34,34
GET,/api/clients/,804,0,15,17.39449761099146,8.1053749890998,84.6465420036111,8651.0,18.212225079466837,0.0,15,18,21,23,29,37,54,64,85,85,85
POST,/api/clients/,12,0,12,14.608958331033742,4.0929999959189445,50.15562498010695,368.3333333333333,0.27182425491741546,0.0,12,16,21,21,22,50,50,50,50,50,50
GET,/api/clients/1/,140,0,7,8.958917308440764,3.5545840219128877,28.61691699945368,700.0,3.171282974036514,0.0,7,10,11,12,16,23,27,27,29,29,29
GET,/api/clients/3/,147,0,7,7.661303264947393,3.543958009686321,23.46520801074803,551.0,3.3298471227383395,0.0,7,9,10,11,12,15,17,21,23,23,23
GET,/api/clients/5/,152,0,7,7.90366336916218,3.380375012056902,26.53658398776315,377.0,3.443107228953929,0.0,7,9,10,11,13,15,23,24,27,27,27
GET,/api/clients/511/,10,0,8,7.402379202540033,3.9292920264415443,10.021458991104737,349.0,0.22652021243117956,0.0,8,8,8,9,10,10,10,10,10,10,10
GET,/api/clients/512/,12,0,9,9.133694414534451,5.902499979129061,11.628417007159442,381.0,0.27182425491741546,0.0,9,10,11,11,12,12,12,12,12,12,12
GET,/api/clients/513/,5,0,10,9.070975001668558,5.5785000149626285,11.536415986483917,360.0,0.11326010621558978,0.0,10,10,10,12,12,12,12,12,12,12,12
GET,/api/clients/514/,12,0,10,10.656357580349626,6.282666989136487,16.735749988583848,360.0,0.27182425491741546,0.0,11,11,13,13,13,17,17,17,17,17,17
GET,/api/clients/515/,11,0,9,9.391802818175744,6.170625012600794,13.851625000825152,392.0,0.2491722336742975,0.0,9,10,11,11,11,14,14,14,14,14,14
GET,/api/clients/516/,10,0,4,3.984837597818114,3.7241249810904264,4.559291992336512,379.0,0.22652021243117956,0.0,4,4,4,4,5,5,5,5,5,5,5
GET,/api/clients/517/,9,0,4,4.492018446196905,3.536666015861556,5.594250018475577,356.0,0.2038681911880616,0.0,4,5,5,5,6,6,6,6,6,6,6
GET,/api/clients/518/,7,0,4,4.02548785288153,3.4507079981267452,5.437874991912395,370.0,0.1585641487018257,0.0,4,4,4,4,5,5,5,5,5,5,5
GET,/api/clients/519/,11,0,11,10.899647726381028,3.5970839962828904,17.56312500219792,372.0,0.2491722336742975,0.0,11,12,12,12,16,18,18,18,18,18,18
GET,/api/clients/520/,7,0,3.9901249983813614,3.8184878607613166,3.5343330237083137,3.9901249983813614,363.0,0.1585641487018257,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/clients/521/,8,0,5,5.995854244247312,3.3884999866131693,11.569333000807092,382.0,0.18121616994494363,0.0,5,7,9,9,12,12,12,12,12,12,12
GET,/api/clients/522/,13,0,9,10.883333230874715,6.46087498171255,19.95987500413321,356.0,0.2944762761605334,0.0,9,10,11,18,20,20,20,20,20,20,20
GET,/api/clients/6/,151,0,7,7.970766848591557,3.2498330110684037,42.46141598559916,402.0,3.4204552077108112,0.0,7,9,10,11,13,15,16,20,42,42,42
GET,/api/clients/7/,137,0,8,7.834482700759409,3.441582986852154,26.756250008475035,394.0,3.10332691030716,0.0,8,9,10,10,13,15,21,21,27,27,27
GET,/api/orders/,822,0,12,14.699361161082425,5.78087498433888,87.95400001690723,5978.0,18.61996146184296,0.0,12,15,18,20,25,32,44,63,88,88,88
POST,/api/token/,12,0,210.43241600273177,223.10970141067324,210.43241600273177,249.80849999701604,486.0,0.27182425491741546,0.0,220,220,250,250,250,250,250,250,250,250,250
GET,/dashboard/admin/,352,0,24,23.844230141962313,9.679708018666133,44.07720800372772,2843.0,7.97351147757752,0.0,24,26,27,28,30,32,33,38,44,44,44
,Aggregated,4220,0,18,17.941061639110007,3.2498330110684037,249.80849999701604,4072.429383886256,95.59152964595778,0.0,18,21,24,25,28,31,38,51,220,250,250
